2026-09-06 21:24:06,508 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=23); средняя позиция=(588.9, 1139.0); время_боя=18858 мс; длительность=402 мс; детекций=8
2026-09-06 21:24:10,943 | Сыграна карта: cannon; слот=1; уверенность=1.00; клетка=(столбец=16, строка=32); средняя позиция=(972.2, 1609.5); время_боя=19845 мс; длительность=301 мс; детекций=13
2026-09-06 21:24:13,998 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=20); средняя позиция=(585.3, 981.8); время_боя=20380 мс; длительность=301 мс; детекций=19
2026-09-06 21:24:19,288 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=17); средняя позиция=(587.7, 838.3); время_боя=21284 мс; длительность=301 мс; детекций=13
2026-09-06 21:24:33,357 | Сыграна карта: ice-spirit; слот=2; уверенность=1.00; клетка=(столбец=10, строка=24); средняя позиция=(585.9, 1189.6); время_боя=23710 мс; длительность=301 мс; детекций=19
2026-09-06 21:24:44,242 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=9, строка=23); средняя позиция=(525.1, 1152.1); время_боя=25601 мс; длительность=318 мс; детекций=15
2026-09-06 21:24:56,285 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=14, строка=23); средняя позиция=(842.3, 1134.8); время_боя=28061 мс; длительность=418 мс; детекций=15
2026-09-06 21:25:14,106 | Сыграна карта: hog-rider; слот=1; уверенность=0.95; клетка=(столбец=3, строка=14); средняя позиция=(132.9, 686.7); время_боя=31390 мс; длительность=301 мс; детекций=19
2026-09-06 21:25:16,812 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=2, строка=18); средняя позиция=(78.8, 881.2); время_боя=31876 мс; длительность=301 мс; детекций=17
2026-09-06 21:25:29,108 | Сыграна карта: ice-golem; слот=1; уверенность=0.73; клетка=(столбец=14, строка=19); средняя позиция=(833.8, 942.4); время_боя=34285 мс; длительность=301 мс; детекций=19
2026-09-06 21:25:31,376 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=13, строка=23); средняя позиция=(777.7, 1136.9); время_боя=34687 мс; длительность=418 мс; детекций=16
2026-09-06 21:27:36,138 | Сыграна карта: hog-rider; слот=1; уверенность=1.00; клетка=(столбец=2, строка=18); средняя позиция=(78.8, 884.7); время_боя=6284 мс; длительность=301 мс; детекций=17
2026-09-06 21:28:21,607 | Сыграна карта: musketeer-hero; слот=1; уверенность=0.30; клетка=(столбец=15, строка=18); средняя позиция=(904.9, 888.1); время_боя=15476 мс; длительность=301 мс; детекций=17
2026-09-06 21:28:26,272 | Сыграна карта: cannon; слот=3; уверенность=1.00; клетка=(столбец=15, строка=16); средняя позиция=(906.1, 775.2); время_боя=16412 мс; длительность=318 мс; детекций=11
2026-09-06 21:28:26,757 | Сыграна карта: cannon; слот=3; уверенность=1.00; клетка=(столбец=9, строка=23); средняя позиция=(522.4, 1136.2); время_боя=16513 мс; длительность=301 мс; детекций=18
2026-09-06 21:28:30,299 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=9, строка=21); средняя позиция=(521.6, 1046.4); время_боя=17165 мс; длительность=301 мс; детекций=7
2026-09-06 21:28:30,642 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=32); средняя позиция=(973.9, 1610.5); время_боя=17231 мс; длительность=301 мс; детекций=13
2026-09-06 21:29:58,417 | Сыграна карта: ice-spirit; слот=3; уверенность=0.98; клетка=(столбец=16, строка=18); средняя позиция=(969.6, 880.1); время_боя=31956 мс; длительность=301 мс; детекций=19
2026-09-06 21:31:08,134 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=2, строка=18); средняя позиция=(78.9, 878.4); время_боя=2828 мс; длительность=301 мс; детекций=15
2026-09-06 21:31:15,518 | Сыграна карта: ice-spirit; слот=1; уверенность=0.98; клетка=(столбец=4, строка=18); средняя позиция=(204.8, 882.7); время_боя=4384 мс; длительность=301 мс; детекций=19
2026-09-06 21:31:57,005 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=9, строка=27); средняя позиция=(524.7, 1347.1); время_боя=12232 мс; длительность=301 мс; детекций=19
